system:index,date,lat,long,vp,.geo
20220101,2022-01-01,34.01029,-118.0685,1091.3399658203125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102,2022-01-02,34.01029,-118.0685,948.0399780273438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220103,2022-01-03,34.01029,-118.0685,903.7000122070312,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220104,2022-01-04,34.01029,-118.0685,910.3400268554688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105,2022-01-05,34.01029,-118.0685,1027.93994140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220106,2022-01-06,34.01029,-118.0685,1182.1600341796875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220107,2022-01-07,34.01029,-118.0685,1057.8499755859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220108,2022-01-08,34.01029,-118.0685,1197.239990234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220109,2022-01-09,34.01029,-118.0685,1014.9299926757812,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220110,2022-01-10,34.01029,-118.0685,1353.2099609375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220111,2022-01-11,34.01029,-118.0685,1368.77001953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220112,2022-01-12,34.01029,-118.0685,1372.1099853515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220113,2022-01-13,34.01029,-118.0685,1531.4100341796875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220114,2022-01-14,34.01029,-118.0685,1376.800048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220115,2022-01-15,34.01029,-118.0685,1547.9200439453125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220116,2022-01-16,34.01029,-118.0685,1659.6199951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220117,2022-01-17,34.01029,-118.0685,1598.9200439453125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220118,2022-01-18,34.01029,-118.0685,1498.9300537109375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220119,2022-01-19,34.01029,-118.0685,1262.3699951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220120,2022-01-20,34.01029,-118.0685,1193.050048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220121,2022-01-21,34.01029,-118.0685,1197.030029296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220122,2022-01-22,34.01029,-118.0685,1430.1700439453125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220123,2022-01-23,34.01029,-118.0685,1241.5899658203125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220124,2022-01-24,34.01029,-118.0685,1166.699951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220125,2022-01-25,34.01029,-118.0685,1064.81005859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220126,2022-01-26,34.01029,-118.0685,1067.47998046875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220127,2022-01-27,34.01029,-118.0685,1101.18994140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220128,2022-01-28,34.01029,-118.0685,1199.3499755859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220129,2022-01-29,34.01029,-118.0685,1296.719970703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220130,2022-01-30,34.01029,-118.0685,1051.97998046875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220131,2022-01-31,34.01029,-118.0685,1069.3499755859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220201,2022-02-01,34.01029,-118.0685,1214.260009765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220202,2022-02-02,34.01029,-118.0685,1006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220203,2022-02-03,34.01029,-118.0685,968.47998046875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220204,2022-02-04,34.01029,-118.0685,1014.780029296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220205,2022-02-05,34.01029,-118.0685,1072.780029296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220206,2022-02-06,34.01029,-118.0685,1146.1800537109375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220207,2022-02-07,34.01029,-118.0685,1342.6300048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220208,2022-02-08,34.01029,-118.0685,1301.4200439453125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220209,2022-02-09,34.01029,-118.0685,1430.0699462890625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220210,2022-02-10,34.01029,-118.0685,1722.5699462890625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220211,2022-02-11,34.01029,-118.0685,1501.3499755859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220212,2022-02-12,34.01029,-118.0685,1434.06005859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220213,2022-02-13,34.01029,-118.0685,1531.06005859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220214,2022-02-14,34.01029,-118.0685,1348.280029296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220215,2022-02-15,34.01029,-118.0685,1164.3900146484375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220216,2022-02-16,34.01029,-118.0685,967.510009765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220217,2022-02-17,34.01029,-118.0685,1022.010009765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220218,2022-02-18,34.01029,-118.0685,1125.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220219,2022-02-19,34.01029,-118.0685,1115.1600341796875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220220,2022-02-20,34.01029,-118.0685,1128.75,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220221,2022-02-21,34.01029,-118.0685,1345.8900146484375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220222,2022-02-22,34.01029,-118.0685,1142.449951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220223,2022-02-23,34.01029,-118.0685,943.5999755859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220224,2022-02-24,34.01029,-118.0685,768.9199829101562,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220225,2022-02-25,34.01029,-118.0685,877.5399780273438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220226,2022-02-26,34.01029,-118.0685,907.6500244140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220227,2022-02-27,34.01029,-118.0685,998.9199829101562,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220228,2022-02-28,34.01029,-118.0685,1168.219970703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220301,2022-03-01,34.01029,-118.0685,1250.780029296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220302,2022-03-02,34.01029,-118.0685,1201.050048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220303,2022-03-03,34.01029,-118.0685,1278.2099609375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220304,2022-03-04,34.01029,-118.0685,1318.5699462890625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220305,2022-03-05,34.01029,-118.0685,1109.8699951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220306,2022-03-06,34.01029,-118.0685,891.5900268554688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220307,2022-03-07,34.01029,-118.0685,884.8900146484375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220308,2022-03-08,34.01029,-118.0685,987.6799926757812,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220309,2022-03-09,34.01029,-118.0685,1099.219970703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220310,2022-03-10,34.01029,-118.0685,1330.8399658203125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220311,2022-03-11,34.01029,-118.0685,774.8099975585938,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220312,2022-03-12,34.01029,-118.0685,685.4000244140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220313,2022-03-13,34.01029,-118.0685,677.6300048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220314,2022-03-14,34.01029,-118.0685,643.4199829101562,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220315,2022-03-15,34.01029,-118.0685,700.1300048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220316,2022-03-16,34.01029,-118.0685,724.47998046875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220317,2022-03-17,34.01029,-118.0685,654.9000244140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220318,2022-03-18,34.01029,-118.0685,777.9400024414062,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220319,2022-03-19,34.01029,-118.0685,1056.0699462890625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220320,2022-03-20,34.01029,-118.0685,829.8099975585938,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220321,2022-03-21,34.01029,-118.0685,634.9099731445312,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220322,2022-03-22,34.01029,-118.0685,630.8400268554688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220323,2022-03-23,34.01029,-118.0685,805.52001953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220324,2022-03-24,34.01029,-118.0685,804.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220325,2022-03-25,34.01029,-118.0685,710.9000244140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220326,2022-03-26,34.01029,-118.0685,705.2000122070312,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220327,2022-03-27,34.01029,-118.0685,1075.0999755859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220328,2022-03-28,34.01029,-118.0685,1310.02001953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220329,2022-03-29,34.01029,-118.0685,1010.9400024414062,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220330,2022-03-30,34.01029,-118.0685,927.2100219726562,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220331,2022-03-31,34.01029,-118.0685,1396.6500244140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220401,2022-04-01,34.01029,-118.0685,519.780029296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220402,2022-04-02,34.01029,-118.0685,711.4400024414062,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220403,2022-04-03,34.01029,-118.0685,746.5700073242188,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220404,2022-04-04,34.01029,-118.0685,528.239990234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220405,2022-04-05,34.01029,-118.0685,515.5800170898438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220406,2022-04-06,34.01029,-118.0685,597.8599853515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220407,2022-04-07,34.01029,-118.0685,761.6500244140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220408,2022-04-08,34.01029,-118.0685,895.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220409,2022-04-09,34.01029,-118.0685,707.6400146484375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220410,2022-04-10,34.01029,-118.0685,963.1099853515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220411,2022-04-11,34.01029,-118.0685,716.8599853515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220412,2022-04-12,34.01029,-118.0685,474.1099853515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220413,2022-04-13,34.01029,-118.0685,417.1499938964844,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220414,2022-04-14,34.01029,-118.0685,452.6300048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220415,2022-04-15,34.01029,-118.0685,496.45001220703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220416,2022-04-16,34.01029,-118.0685,532.27001953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220417,2022-04-17,34.01029,-118.0685,557.4099731445312,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220418,2022-04-18,34.01029,-118.0685,515.6699829101562,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220419,2022-04-19,34.01029,-118.0685,592.9299926757812,"{""type"":""MultiPoint"",""coordinates"":[]}"
